session,threshold_pct,window_size_s,label,representation,n_windows,n_m_found,m_found_rate_pct,median_m,iqr_m,mode_m,q10_m,q25_m,q50_m,q75_m,q90_m,min_m,max_m,median_min_fnn_pct
sample_10.csv,4.0,60,Awake,Raw,27,26,96.29629629629629,5.0,1.5,5.0,4.0,4.25,5.0,5.75,6.5,4.0,8.0,2.413793103448276
sample_10.csv,4.0,60,Drowsy,Processed,9,9,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.684931506849315
sample_10.csv,4.0,60,Drowsy,Raw,8,8,100.0,5.0,0.25,5.0,4.0,4.75,5.0,5.0,5.8999999999999995,4.0,8.0,2.282162011562304
sample_10.csv,4.0,120,Awake,Processed,12,12,100.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,0.724372142697566
sample_10.csv,4.0,120,Awake,Raw,12,12,100.0,5.0,1.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,7.0,2.261661957066679
sample_10.csv,4.0,120,Drowsy,Processed,4,4,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6911100319739842
sample_10.csv,4.0,120,Drowsy,Raw,4,4,100.0,5.0,0.25,5.0,4.3,4.75,5.0,5.0,5.0,4.0,5.0,2.6903344021988085
sample_10.csv,4.0,180,Awake,Processed,7,7,100.0,5.0,0.5,5.0,4.0,4.5,5.0,5.0,5.0,4.0,5.0,0.7379248658318426
sample_10.csv,4.0,180,Awake,Raw,7,7,100.0,5.0,0.0,5.0,4.6,5.0,5.0,5.0,5.800000000000001,4.0,7.0,2.0202020202020203
sample_10.csv,4.0,180,Drowsy,Processed,2,2,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.816680092824666
sample_10.csv,4.0,180,Drowsy,Raw,2,2,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.292134831460674
